episode,global_step,episode_reward
0,1500,3699.6372417855587
1,3000,2907.883396849461
2,4500,3639.994220408209
3,6000,2851.620231666853
4,7500,4384.223150118259
5,9000,3161.3273347367754
6,10500,3860.739646776696
7,12000,3305.9090660431516
8,13500,3974.983315683692
9,15000,2766.9123715128076
10,16500,2835.902458275815
11,18000,3796.354558770474
12,19500,3649.0332449983953
13,21000,3417.329705310952
14,22500,2722.938347680814
15,24000,2533.075996490367
16,25500,3074.473086020929
17,27000,3160.786692921
18,28500,2820.9883367696975
19,30000,3293.298183788161
20,31500,2851.7776018671793
21,33000,3411.006628336572
22,34500,3341.372648639885
23,36000,3768.27419452719
24,37500,3430.163351461199
25,39000,3464.0513383124944
26,40500,3448.746998890395
27,42000,3034.398922895758
28,43500,3702.2692106671198
29,45000,3160.877568230439
30,46500,3059.1206609484802
31,48000,3594.8777838151254
32,49500,3914.6311169678015
33,51000,3292.147340586799
34,52500,3428.9555442042747
35,54000,2944.185231481013
36,55500,3780.8799157204207
37,57000,3780.4329887009435
38,58500,3317.4456150046194
39,60000,3484.8403099939396
40,61500,3749.5501416251486
41,63000,2848.4795628169104
42,64500,2992.0728731279437
43,66000,2736.7630244644283
44,67500,4041.10462625222
45,69000,2868.5745639056036
46,70500,3664.0113569820846
47,72000,3157.1572674920803
48,73500,2896.5908566514026
49,75000,2925.729173842976
50,76500,2833.268816595566
51,78000,3621.0773049902978
52,79500,3510.5443572392815
53,81000,3931.856317200411
54,81922,1948.5906578394133
55,83422,2504.671270441685
56,84922,2968.8545093827065
57,86422,4015.9478765658337
58,87922,3578.5353426383504
59,89422,3853.7111381433638
60,90922,3131.7308974472453
61,92422,3529.8435394913695
62,93922,3334.463232677772
63,94809,2074.9886242223993
64,96309,3845.4701080298864
65,97809,3027.3707188394314
66,99309,3518.6510583460454
67,100809,3889.8418053415808
68,102309,2667.563013509841
69,103809,3787.240851917303
70,105309,3135.5109221187436
71,106809,2932.7838479786465
72,108309,4134.209946760598
73,109809,2644.3552467683608
74,111309,4230.341133211289
75,112809,4176.859774306064
76,114309,2842.881708191263
77,115809,3769.7855624222548
78,117309,3953.5092957857482
79,118809,2862.375552308023
80,120309,3916.243824138593
81,121809,3299.2525054186426
82,123309,4557.706250866507
83,124809,3047.021353935561
84,126309,3253.9459254774133
85,127809,4118.374451611259
86,129309,3822.4295320080832
87,130809,3264.501606858251
88,132309,2704.47297607452
89,133809,4066.4705597178113
90,135309,3458.564003558752
91,136809,3982.9467796376134
92,138309,3692.2124950311
93,139809,3326.950178342023
94,141309,4017.235039414973
95,142809,2982.689852712764
96,144309,3668.716907167706
97,145809,3618.6541791396717
98,147309,4083.142340073365
99,148809,3908.8071333341973
100,150309,4296.262077975106
101,151809,4421.621568438744
102,152694,2225.0679603280114
103,154194,2885.827083790224
104,155694,4119.162952837865
105,157194,3472.7465135012376
106,158694,3039.493261373743
107,159442,1753.6483914630217
108,160942,4008.885556389981
109,162442,3685.9516811073954
110,163942,2779.5826144824646
111,165442,3696.038945147855
112,166942,3594.4384664274726
113,168442,3789.4421601305294
114,169942,3409.3521440118984
115,171442,3863.2717447356795
116,172942,3632.5031546351847
117,174442,4139.195601364678
118,175942,3502.467136827892
119,177442,3016.4129546887557
120,178942,3324.0724657251108
121,180442,3664.469223990587
122,181942,3813.5131728342462
123,183442,2593.937765688934
124,184942,3527.0540166886926
125,186442,3102.7875371632326
